dataset,shots,noise_type,noise_p,meas_seed,r2,mse
lorenz,2048,bit_flip,0.002,44,0.619050755333884,0.4026010292672702
lorenz,2048,bit_flip,0.002,55,0.6186564814385702,0.40301771227239264
lorenz,2048,bit_flip,0.002,66,0.6206343743694082,0.4009274030228395
lorenz,2048,bit_flip,0.002,77,0.6165628961873901,0.4052302893775726
lorenz,2048,bit_flip,0.003,11,0.5655361640023815,0.45915719745120626
lorenz,2048,bit_flip,0.003,22,0.5622450469375454,0.46263536977020747
lorenz,2048,bit_flip,0.003,33,0.5624521213746512,0.46241652596704724
lorenz,2048,bit_flip,0.003,44,0.5651530787277004,0.45956205591475013
lorenz,2048,bit_flip,0.003,55,0.5636037515216505,0.4611994413054843
lorenz,2048,bit_flip,0.003,66,0.567452297217772,0.45713215811714597
lorenz,2048,bit_flip,0.003,77,0.5610426901175385,0.46390606422638253
lorenz,2048,bit_flip,0.005,11,0.4631050529121359,0.567410124399695
lorenz,2048,bit_flip,0.005,22,0.46315721901822215,0.5673549933598064
lorenz,2048,bit_flip,0.005,33,0.4624862303283538,0.5680641186329237
lorenz,2048,bit_flip,0.005,44,0.46690736945097,0.5633916978676349
lorenz,2048,bit_flip,0.005,55,0.4657910975148094,0.5645714146848563
lorenz,2048,bit_flip,0.005,66,0.46911626362682035,0.5610572580933304
lorenz,2048,bit_flip,0.005,77,0.46247986554704357,0.5680708451655063
lorenz,2048,bit_flip,0.008,11,0.3424180042735542,0.6949565907109954
lorenz,2048,bit_flip,0.008,22,0.3406497464719359,0.6968253499247467
lorenz,2048,bit_flip,0.008,33,0.34158432299306907,0.6958376554362932
lorenz,2048,bit_flip,0.008,44,0.3473496701681902,0.689744626668586
lorenz,2048,bit_flip,0.008,55,0.34384243180414575,0.6934512038439459
lorenz,2048,bit_flip,0.008,66,0.3477606593637189,0.689310278325718
lorenz,2048,bit_flip,0.008,77,0.3370849163022146,0.7005927922168312
lorenz,2048,bit_flip,0.01,11,0.27775816408714593,0.763291463599695
lorenz,2048,bit_flip,0.01,22,0.2751901063900877,0.7660054804576613
lorenz,2048,bit_flip,0.01,33,0.2756037584224834,0.7655683179318582
lorenz,2048,bit_flip,0.01,44,0.2833709236296603,0.7573596949966978
lorenz,2048,bit_flip,0.01,55,0.2760548433381491,0.7650915949723649
lorenz,2048,bit_flip,0.01,66,0.28266095878966124,0.7581100116841024
lorenz,2048,bit_flip,0.01,77,0.27309072590137773,0.7682241821808241
lorenz,2048,bit_flip,0.015,11,0.1618331850710769,0.885805201382694
lorenz,2048,bit_flip,0.015,22,0.16292097854878163,0.8846555816370558
lorenz,2048,bit_flip,0.015,33,0.1615737491144681,0.8860793827457552
lorenz,2048,bit_flip,0.015,44,0.16497969119237899,0.8824798591730192
lorenz,2048,bit_flip,0.015,55,0.15741003327583503,0.8904797492136801
lorenz,2048,bit_flip,0.015,66,0.1665116095435727,0.8808608720938229
lorenz,2048,bit_flip,0.015,77,0.15426972000855,0.8937985465897944
lorenz,2048,bit_flip,0.02,11,0.09075534728295565,0.9609228477680288
lorenz,2048,bit_flip,0.02,22,0.09145170029641869,0.9601869165544119
lorenz,2048,bit_flip,0.02,33,0.09109575410915216,0.9605630934424455
lorenz,2048,bit_flip,0.02,44,0.09298366756271503,0.9585678777799546
lorenz,2048,bit_flip,0.02,55,0.08837257331691462,0.9634410500342655
lorenz,2048,bit_flip,0.02,66,0.09458351599659365,0.9568770997165522
lorenz,2048,bit_flip,0.02,77,0.08426996020215782,0.9677768409193063
lorenz,2048,bit_flip,0.03,11,0.020973932235082038,1.0346703874084437
lorenz,2048,bit_flip,0.03,22,0.02281036957589866,1.032729573575762
lorenz,2048,bit_flip,0.03,33,0.0225554769593731,1.0329989533716342
lorenz,2048,bit_flip,0.03,44,0.022131501692235656,1.033447025867704
lorenz,2048,bit_flip,0.03,55,0.017360005193167494,1.0384897170623109
lorenz,2048,bit_flip,0.03,66,0.023736549977675603,1.031750752411884
lorenz,2048,bit_flip,0.03,77,0.014910865336375534,1.0410780572177774
lorenz,2048,bit_flip,0.05,11,-0.01828898835149384,1.0761648711527254
lorenz,2048,bit_flip,0.05,22,-0.01612571704076271,1.0738786472830653
lorenz,2048,bit_flip,0.05,33,-0.015268430585507975,1.0729726357497837
lorenz,2048,bit_flip,0.05,44,-0.01640973559270642,1.0741788084277442
lorenz,2048,bit_flip,0.05,55,-0.021711162505371417,1.079781549374231
lorenz,2048,bit_flip,0.05,66,-0.01617192286040381,1.0739274792752693
lorenz,2048,bit_flip,0.05,77,-0.026292171639815454,1.0846229265876874
lorenz,2048,bit_flip,0.08,11,-0.02764889929472525,1.0860567657616718
lorenz,2048,bit_flip,0.08,22,-0.024797786588937942,1.0830436060665711
lorenz,2048,bit_flip,0.08,33,-0.024359770054208862,1.0825806942477734
lorenz,2048,bit_flip,0.08,44,-0.026163662384420805,1.0844871133285283
lorenz,2048,bit_flip,0.08,55,-0.031334935904954175,1.0899523034323022
lorenz,2048,bit_flip,0.08,66,-0.0252563522826994,1.083528234984675
